Nama Obat,Kelas Terapi,Sub Kelas Terapi 1,Sub Kelas Terapi 2,Sub Kelas Terapi 3,Kekuatan,Satuan,Sediaan,Komposisi,Tingkat Faskes FPKTP,Tingkat Faskes FPKTL,PP,PRBOEN,Program [P],Kanker [Ca],Restriksi Obat,Restriksi sediaan,Restriksi Kelas Terapi,Restriksi Sub Kelas Terapi,Restriksi Sub Sub Kelas Terapi,Restriksi Sub Sub Sub Kelas Terapi,Peresepan Maksimal
131I-MIBG (meta-iodobenzylguanidine),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Radiofarmaka Kedokteran Nuklir Diagnostik,,,,inj,,yes,,,,,,,,,,,,
153-Sm-EDTMP (ethylenediamine tetramethylene phosphonic acid),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Radiofarmaka Kedokteran Nuklir untuk Terapi,,,,inj,,yes,,,,,,,,,,,,
Analog Insulin Basal: insulin detemir,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,yes,yes,,yes,,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,"Dalam kondisi tertentu, Dokter di FPKTP dapat melakukan penyesuaian dosis (titrasi) insulin basal hingga 20 IU/hari."
Analog Insulin Basal: insulin glargine,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,300,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,,,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
Analog Insulin Basal: insulin glargine,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,yes,yes,,yes,,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,"Dalam kondisi tertentu, Dokter di FPKTP dapat melakukan penyesuaian dosis (titrasi) insulin basal hingga 20 IU/hari."
Analog Insulin Campuran: Co-formulation 70% insulin degludec (ultra-long acting insulin) dan 30% insulin aspart,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
Analog Insulin Campuran: kombinasi 50% insulin protamine lispro dan 50% insulin lispro,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
Analog Insulin Campuran: kombinasi 70% insulin protamine aspart dan 30% insulin aspart,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
Analog Insulin Campuran: kombinasi 75% insulin protamine lispro dan 25% insulin lispro,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
Analog Insulin Prandial: insulin aspart,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,,,,,,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
